Gene	sgRNA	eff
ADARB2	ADARB2_m1779246	1
ADARB2	ADARB2_m1779251	1
ADARB2	ADARB2_m1779266	1
ADARB2	ADARB2_m1779272	1
ADARB2	ADARB2_m1779308	1
ADARB2	ADARB2_m1779330	1
ADARB2	ADARB2_m1779337	1
ADARB2	ADARB2_p1421307	1
ADARB2	ADARB2_p1421336	1
ADARB2	ADARB2_p1779233	1
ADAR	ADAR_m154574098	1
ADAR	ADAR_m154574103	1
ADAR	ADAR_m154574108	1
ADAR	ADAR_m154574165	1
ADAR	ADAR_m154574219	1
ADAR	ADAR_p154574043	1
ADAR	ADAR_p154574114	1
ADAR	ADAR_p154574121	1
ADAR	ADAR_p154574126	1
ADAR	ADAR_p154574157	1
ADCK1	ADCK1_m78285328	1
ADCK1	ADCK1_m78285358	1
ADCK1	ADCK1_m78285376	1
ADCK1	ADCK1_m78285413	1
ADCK1	ADCK1_p78285311	1
ADCK1	ADCK1_p78285331	1
ADCK1	ADCK1_p78285341	1
ADCK1	ADCK1_p78285386	1
ADCK1	ADCK1_p78285402	1
ADCK1	ADCK1_p78285416	1
ADCK2	ADCK2_m140373155	1
ADCK2	ADCK2_m140373168	1
ADCK2	ADCK2_m140373177	1
ADCK2	ADCK2_m140373210	1
ADCK2	ADCK2_m140373220	1
ADCK2	ADCK2_m140373231	1
ADCK2	ADCK2_p140373122	1
ADCK2	ADCK2_p140373137	1
ADCK2	ADCK2_p140373158	1
ADCK2	ADCK2_p140373194	1
ADCK3	ADCK3_m227149096	1
ADCK3	ADCK3_m227149144	1
ADCK3	ADCK3_m227149153	1
ADCK3	ADCK3_m227149163	1
ADCK3	ADCK3_p227149079	1
ADCK3	ADCK3_p227149104	1
ADCK3	ADCK3_p227149124	1
ADCK3	ADCK3_p227149133	1
ADCK3	ADCK3_p227149155	1
ADCK3	ADCK3_p227149165	1
ADCK4	ADCK4_m41220243	1
ADCK4	ADCK4_m41220249	1
ADCK4	ADCK4_m41220284	1
ADCK4	ADCK4_m41220291	1
ADCK4	ADCK4_m41220465	1
ADCK4	ADCK4_m41220474	1
ADCK4	ADCK4_m41220523	1
ADCK4	ADCK4_p41220276	1
ADCK4	ADCK4_p41220422	1
ADCK4	ADCK4_p41220480	1
